,address,commission_district,date_and_time,flood_depth_measured_here,flood_type,has_this_location_flooded,municipality,flood_depth_measured_here_other,what_properties_are_flooded_oth,water_depth_in_inches,what_properties_are_flooded,zip_code,temperature,atmospheric_pressure,air_humidity,wind_speed,wind_gust,wind_direction,longitude,latitude,horizontal_accuracy,date,geometry
0,"11300 W Broward Blvd, Plantation, FL 33325",5,"Fri, 13 Aug 2021 20:00:00 GMT",parking_lot,rainfall_storm_hurricane,yes_it_always_floods_here,PLANTATION,sidewalk,,4.0,"Commercial, Public",33324,,,,,,,-80.2964028,26.12068482,,2021-08-13 20:00:00,POINT (-80.300643905 26.1210257340001)
1,north new river ,8,"Thu, 09 Sep 2021 15:38:00 GMT",seawall,high_tide_tidal_flooding,often,FORT LAUDERDALE,,,0.5,Public,33312,,,,,,,-80.1479906,26.11968884,,2021-09-09 15:38:00,POINT (-80.147990604 26.1196888380001)
2,,8,"Thu, 09 Sep 2021 15:50:00 GMT",storm_drain,high_tide_tidal_flooding,sometimes,FORT LAUDERDALE,,,0.0,Public,33312,,,,,,,-80.1494919,26.11989419,,2021-09-09 15:50:00,POINT (-80.1494919 26.1198941850001)
3,Cooley's landing park ,8,"Thu, 09 Sep 2021 15:55:00 GMT",seawall,high_tide_tidal_flooding,yes_it_always_floods_here,FORT LAUDERDALE,,,3.0,Public,33315,,,,,,,-80.1492196,26.1173418,,2021-09-09 15:55:00,POINT (-80.1492196 26.1173418000001)
4,stranahan house ,4,"Thu, 09 Sep 2021 15:28:00 GMT",storm_drain,high_tide_tidal_flooding,sometimes,FORT LAUDERDALE,,,1.0,Public,33301,,,,,,,-80.13732861,26.11840556,,2021-09-09 15:28:00,POINT (-80.137328607 26.1184055570001)
5,,4,"Thu, 09 Sep 2021 16:00:00 GMT",other,high_tide_tidal_flooding,often,FORT LAUDERDALE,stranahan house front yard ,,0.0,Public,33301,,,,,,,-80.13734582,26.11838084,,2021-09-09 16:00:00,POINT (-80.1373458159999 26.1183808440001)
6,,4,"Thu, 09 Sep 2021 15:09:00 GMT",storm_drain,high_tide_tidal_flooding,sometimes,FORT LAUDERDALE,,,0.5,Public,33301,,,,,,,-80.13811765,26.11840499,,2021-09-09 15:09:00,POINT (-80.1381176479999 26.1184049870001)
7,,4,"Wed, 20 Oct 2021 13:20:00 GMT",road,high_tide_tidal_flooding,yes_it_always_floods_here,FORT LAUDERDALE,,,5.0,Public,33301,,,,,,,-80.11845532,26.11996285,,2021-10-20 13:20:00,POINT (-80.118455324 26.119962854)
8,,4,"Wed, 20 Oct 2021 14:17:00 GMT",road,high_tide_tidal_flooding,sometimes,FORT LAUDERDALE,,,4.0,Public,33301,,,,,,,-80.11839058,26.1199284,,2021-10-20 14:17:00,POINT (-80.118390581 26.119928397)
9,,6,"Fri, 05 Nov 2021 00:51:00 GMT",road,high_tide_tidal_flooding,don't_know,HOLLYWOOD,,,6.0,Private,33019,,,,,,,-80.11786987,26.0025503,,2021-11-05 00:51:00,POINT (-80.117869868 26.0025502980001)
