,original_reference_no,original_request_type,original_status,original_priority,original_assigned_dept,original_date,formatted,lat,lon,geometry
0,W084807-122923,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/29/2023 11:53 AM,"Barnes & Noble, 152 Miracle Mile, Coral Gables, FL 33134, United States of America",25.7494018,-80.2580346,POINT (-80.2580346 25.7494018)
1,W084779-122723,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/27/2023 9:51 AM,"201 Washington Drive, Coral Gables, FL 33133, United States of America",25.72701905,-80.25955257,POINT (-80.25955257 25.72701905)
2,W084602-121523,Storm Drain/ Catch Basin,Completed,Medium,PW- Permits Section: Internal Use,12/15/2023 9:57 AM,"1650 Galiano Street, Coral Gables, FL 33134, United States of America",25.75708733,-80.25703467,POINT (-80.25703467 25.75708733)
3,W084506-120723,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,12/7/2023 2:57 PM,"823 Capri Street, Coral Gables, FL 33134, United States of America",25.76305055,-80.27456774,POINT (-80.27456774 25.76305055)
4,W084154-111623,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2023 9:51 AM,"1527 Corniche Avenue, Coral Gables, FL 33146, United States of America",25.7148668,-80.2845931,POINT (-80.2845931 25.7148668)
5,W084120-111523,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,11/15/2023 2:36 PM,"1335 Asturia Avenue, Coral Gables, FL 33134, United States of America",25.75070895,-80.28338466,POINT (-80.28338466 25.75070895)
6,W084117-111523,Storm Drain/ Catch Basin,Completed,Medium,PW- Permits Section: Internal Use,11/15/2023 11:52 AM,"13003 Zambrana Street, Coral Gables, FL 33156, United States of America",25.6502207,-80.2733744,POINT (-80.2733744 25.6502207)
7,W084115-111 523,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW-Solid Waste,11/15/2023 10:22 AM,"9355 Balada Street, Coral Gables, FL 33156, United States of America",25.6839182,-80.2672652,POINT (-80.2672652 25.6839182)
8,W084001-11 0623,Storm Drain/ Catch Basin,Completed,Medium,PW- Central and Engineering,11/6/2023 9:37 AM,"5671 Michelangelo Street, Coral Gables, FL 33146, United States of America",25.7170263,-80.26946484,POINT (-80.26946484 25.7170263)
9,W083763-1 02023,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,10/20/2023 8:57 AM,"145 Orquidea Avenue, Coral Gables, FL 33143, United States of America",25.7016031,-80.2526679,POINT (-80.2526679 25.7016031)
10,W083614-101223,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,10/12/2023 9:17 AM,"821 Majorca Avenue, Coral Gables, FL 33134, United States of America",25.7545555,-80.2725908,POINT (-80.2725908 25.7545555)
11,W083538-1 00523,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,10/5/2023 2:27 PM,"1413 Santa Cruz Avenue, Coral Gables, FL 33134, United States of America",25.76215865,-80.28424446,POINT (-80.28424446 25.76215865)
12,W083486-1 00323,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,10/3/2023 2:59 PM,"1420 Venetia Avenue, Coral Gables, FL 33134, United States of America",25.7586056,-80.28437827,POINT (-80.28437827 25.7586056)
13,W083484-1 00323,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,10/3/2023 1:59 PM,"10 Edgewater Drive, Coral Gables, FL 33133, United States of America",25.7062366,-80.2526094,POINT (-80.2526094 25.7062366)
14,W083451 -100223,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Permits Section: Internal Use,10/2/2023 3:00 PM,"4100 Salzedo Street, Coral Gables, FL 33146, United States of America",25.7340295,-80.2606134,POINT (-80.2606134 25.7340295)
15,W083422-092923,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,9/29/2023 3:38 PM,"902 Salzedo Street, Coral Gables, FL 33134, United States of America",25.7626473,-80.26100638,POINT (-80.26100638 25.7626473)
16,W083420-092923,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,9/29/2023 3:24 PM,"85 South Prospect Drive, Coral Gables, FL 33133, United States of America",25.70888235,-80.250159,POINT (-80.250159 25.70888235)
17,W083412-092923,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW- Central and Engineering,9/29/2023 12:53 PM,"750 Calatrava Avenue, Coral Gables, FL 33143, United States of America",25.69655845,-80.26848052,POINT (-80.26848052 25.69655845)
18,W083347-092623,Storm Drain/ Catch Basin,Completed,Medium,PW- Permits Section: Internal Use,9/26/2023 9:22 AM,"1454 Robbia Avenue, Coral Gables, FL 33146, United States of America",25.72262035,-80.28310097,POINT (-80.28310097 25.72262035)
