,request_type,Latitude,Longitude,Address,AdditionalData,StatusType,InitialBoundaryName,date,geometry
0,Flooding Issues,26.0182665,-80.1757121,"Johnson S/N Park R, Hollywood, FL 33021",Select a Request Type=Flooding Issues,Received,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 8",2024-05-02 20:11:13,POINT (-80.1757121 26.0182665)
1,Flooding Issues,26.015938,-80.1634569,"2807 Pierce St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Received,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2024-05-02 15:17:18,POINT (-80.1634569 26.015938)
2,Flooding Issues,26.0184217,-80.1634725,"2746 Johnson St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2024-05-01 9:48:57,POINT (-80.1634725 26.0184217)
3,Flooding Issues,26.002523,-80.1871532,"1600 Tallwood Ave, Hollywood, FL 33021",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 6;Code Enforcement Zone 9",2024-04-17 17:24:07,POINT (-80.1871532 26.002523)
4,Flooding Issues,26.0301109,-80.1350128,"2125 N 14th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2024-03-26 14:11:11,POINT (-80.1350128 26.0301109)
5,Flooding Issues,26.0223731,-80.1323279,"1237 Garfield St, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2024-03-25 10:20:16,POINT (-80.1323279 26.0223731)
6,Flooding Issues,26.0184436,-80.1660685,"812 N 29th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Duplicate,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2024-03-25 6:52:31,POINT (-80.1660685 26.0184436)
7,Flooding Issues,26.0175998,-80.16621,"804 N 29th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2024-03-21 17:05:24,POINT (-80.16621 26.0175998)
8,Flooding Issues,26.0256526,-80.1575447,"1630 N 25th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2024-03-18 13:07:11,POINT (-80.1575447 26.0256526)
9,Flooding Issues,26.029352,-80.1552249,"2346 Scott St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 2;Code Enforcement Zone 3",2024-03-04 12:17:48,POINT (-80.1552249 26.029352)
10,Flooding Issues,26.0081177,-80.1324909,"1253 Monroe St, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 2",2024-02-27 13:25:56,POINT (-80.1324909 26.0081177)
11,Flooding Issues,26.0104979,-80.1218997,"817 N Southlake Dr, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Received,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 2",2024-02-20 17:15:56,POINT (-80.1218997 26.0104979)
12,Flooding Issues,26.0177712,-80.1263274,"1015 Buchanan St, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2024-02-19 8:58:49,POINT (-80.1263274 26.0177712)
13,Flooding Issues,26.0133583,-80.1603236,"2626 Taylor St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2024-02-05 11:13:33,POINT (-80.1603236 26.0133583)
14,Flooding Issues,26.0318208,-80.1349511,"1401 Liberty St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2024-02-01 14:19:03,POINT (-80.1349511 26.0318208)
15,Flooding Issues,26.0075749,-80.1445293,"1850 Monroe St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 2;Code Enforcement Zone 204",2024-01-30 18:42:27,POINT (-80.1445293 26.0075749)
16,Flooding Issues,26.0530428,-80.1876373,"5630 Oak Tree Ave, Fort Lauderdale, FL 33312",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 4;Code Enforcement Zone 5",2024-01-11 14:16:19,POINT (-80.1876373 26.0530428)
17,Flooding Issues,26.0051729,-80.2117284,"600 S 62nd Ave, Hollywood, FL 33023",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 6;Code Enforcement Zone 10",2023-12-28 14:56:54,POINT (-80.2117284 26.0051729)
18,Flooding Issues,26.0219444,-80.1342007,"1125 N 13th Terrace, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2023-12-19 9:26:11,POINT (-80.1342007 26.0219444)
19,Flooding Issues,26.0304711,-80.134994,"2106 N 14th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2023-12-18 16:27:40,POINT (-80.134994 26.0304711)
20,Flooding Issues,26.0247594,-80.1365968,"1408 S Gabriel St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2023-12-06 12:32:09,POINT (-80.1365968 26.0247594)
21,Flooding Issues,26.0063037,-80.1300982,"1200 Jefferson St, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 2",2023-11-29 17:09:30,POINT (-80.1300982 26.0063037)
22,Flooding Issues,26.0059081,-80.1816813,"541 S Rainbow Dr, Hollywood, FL 33021",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 6;Code Enforcement Zone 9",2023-11-29 8:36:36,POINT (-80.1816813 26.0059081)
23,Flooding Issues,26.0173439,-80.1266946,"1028 Buchanan St, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2023-11-28 23:42:38,POINT (-80.1266946 26.0173439)
24,Flooding Issues,26.0314859,-80.1574407,"2230 N 25th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2023-11-16 9:45:13,POINT (-80.1574407 26.0314859)
25,Flooding Issues,26.0397716,-80.221145,"3331 N 66th Ave, Hollywood, FL 33024",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 4;Code Enforcement Zone 6",2023-11-16 9:02:45,POINT (-80.221145 26.0397716)
26,Flooding Issues,25.996937,-80.1366239,"Moffett St & NE 12th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 2",2023-11-15 9:29:46,POINT (-80.1366239 25.996937)
27,Flooding Issues,26.0222612,-80.1318235,"1200 Arthur St, Hollywood, FL 33019",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 1",2023-11-14 20:15:56,POINT (-80.1318235 26.0222612)
28,Flooding Issues,26.0284331,-80.1652193,"1918 N 28th Ave, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 3;Code Enforcement Zone 7",2023-11-14 14:44:56,POINT (-80.1652193 26.0284331)
29,Flooding Issues,25.999562,-80.1350362,"1406 Wiley St, Hollywood, FL 33020",Select a Request Type=Flooding Issues,Completed,"Hollywood, FL - City Limits;District 1;Code Enforcement Zone 2",2023-11-14 12:47:28,POINT (-80.1350362 25.999562)
