,type_description,created_date,full_address,unit,city,zip_code,latitude,longitude,date,geometry
0,FLOODING / STANDING WATER - LOCALIZED,11/12/2020,3939 NW 25th Street,,,33142,25.79873,-80.260743,2020-11-12,POINT (-80.260743 25.79873)
1,STORM FLOOD/ DRAINAGE,2/29/2016,NW 62 St & NW10 Ave,,,33142,25.831984,-80.21257,2016-02-29,POINT (-80.21257 25.831984)
2,STORM FLOOD/ DRAINAGE,1/3/2017,west flagler st & river drive,,,33133,25.773935,-80.201937,2017-01-03,POINT (-80.201937 25.773935)
3,STORM FLOOD/ DRAINAGE,11/28/2022,670 nw 6th ct,,,33136,25.779495,-80.206421,2022-11-28,POINT (-80.206421 25.779495)
4,STORM FLOOD/ DRAINAGE,6/23/2017,N MIAMI AVE & NE 24TH ST,,,33023,25.799771,-80.194973,2017-06-23,POINT (-80.194973 25.799771)
5,STORM FLOOD/ DRAINAGE,7/29/2022,2645 S Bay shore Dr,,,33133,25.732373,-80.236056,2022-07-29,POINT (-80.236056 25.732373)
6,STORM FLOOD/ DRAINAGE,11/9/2020,1473 NE 116th St,,,33161,25.882664,-80.168679,2020-11-09,POINT (-80.168679 25.882664)
7,STORM FLOOD/ DRAINAGE,8/1/2017,6820 w flagler st,#MULTI,,33144,25.770176,-80.306684,2017-08-01,POINT (-80.306684 25.770176)
8,STORM FLOOD/ DRAINAGE,11/28/2022,829 SW 1ST ST,,,33034,25.772911,-80.208278,2022-11-28,POINT (-80.208278 25.772911)
9,STORM FLOOD/ DRAINAGE,11/12/2019,1027 NW 4 st,,,33125,25.777582,-80.212151,2019-11-12,POINT (-80.212151 25.777582)
10,STORM FLOOD/ DRAINAGE,11/5/2021,2526 n miami,,,33142,25.801152,-80.195042,2021-11-05,POINT (-80.195042 25.801152)
11,STORM FLOOD/ DRAINAGE,12/20/2018,51 NW 51 St,,,33143,25.822515,-80.196727,2018-12-20,POINT (-80.196727 25.822515)
12,STORM FLOOD/ DRAINAGE,8/28/2019,1833 SW 8 St,,,33127,25.765671,-80.225778,2019-08-28,POINT (-80.225778 25.765671)
13,STORM FLOOD/ DRAINAGE,5/6/2019,NW 3 street and NW 14 Ave,,,33130,25.776319,-80.218074,2019-05-06,POINT (-80.218074 25.776319)
14,STORM FLOOD/ DRAINAGE,8/29/2019,152 SW 63 Ave,,,33125,25.769594,-80.298177,2019-08-29,POINT (-80.298177 25.769594)
15,STORM FLOOD/ DRAINAGE,8/25/2020,1221 NW 27th ST,,,33142,25.801603,-80.21583,2020-08-25,POINT (-80.21583 25.801603)
16,STORM FLOOD/ DRAINAGE,1/3/2017,2501 nw 7th street,,,33132,25.77959,-80.237748,2017-01-03,POINT (-80.237748 25.77959)
17,STORM FLOOD/ DRAINAGE,11/2/2016,400 SW 24 road,,,33133,25.757769,-80.207819,2016-11-02,POINT (-80.207819 25.757769)
18,STORM FLOOD/ DRAINAGE,8/27/2019,1501 nw 16th ave,,,33142,25.788953,-80.22136,2019-08-27,POINT (-80.22136 25.788953)
19,STORM FLOOD/ DRAINAGE,8/28/2019,1901 SW 8 ST,,,33127,25.765613,-80.226879,2019-08-28,POINT (-80.226879 25.765613)
20,STORM FLOOD/ DRAINAGE,11/16/2022,11 sw 14th st,,,33145,25.760661,-80.193482,2022-11-16,POINT (-80.193482 25.760661)
21,STORM FLOOD/ DRAINAGE,5/30/2018,250 nw 8 av,,,33129,25.776326,-80.207928,2018-05-30,POINT (-80.207928 25.776326)
22,STORM FLOOD/ DRAINAGE,10/28/2019,2255 nw north river drive,,,33125,25.790298,-80.232532,2019-10-28,POINT (-80.232532 25.790298)
23,STORM FLOOD/ DRAINAGE,9/21/2022,1401 n miami ave,,,33132,25.788346,-80.194315,2022-09-21,POINT (-80.194315 25.788346)
24,STORM FLOOD/ DRAINAGE,10/24/2019,967 N.E 78st,,,33138,25.847166,-80.176994,2019-10-24,POINT (-80.176994 25.847166)
25,STORM FLOOD/ DRAINAGE,10/12/2018,2140 nw 20th ave,,,33150,25.794449,-80.22848,2018-10-12,POINT (-80.22848 25.794449)
26,STORM FLOOD/ DRAINAGE,9/13/2018,839 ne 85th street,,,33150,25.853767,-80.179984,2018-09-13,POINT (-80.179984 25.853767)
27,FLOODING / STANDING WATER - LOCALIZED,7/5/2018,13942 SW 153RD TER,,Miami_Dade_County,33177,25.624715,-80.419623,2018-07-05,POINT (-80.419623 25.624715)
28,FLOODING / STANDING WATER - LOCALIZED,5/27/2020,240 NW 147TH ST,,Miami_Dade_County,33168,25.909917,-80.204701,2020-05-27,POINT (-80.204701 25.909917)
29,FLOODING / STANDING WATER - LOCALIZED,7/26/2017,7355 SW 48TH ST,,Miami_Dade_County,33155,25.725899,-80.313951,2017-07-26,POINT (-80.313951 25.725899)
30,FLOODING / STANDING WATER - LOCALIZED,5/27/2020,280 NE 156TH ST,,Miami_Dade_County,33162,25.917726,-80.194022,2020-05-27,POINT (-80.194022 25.917726)
31,FLOODING / STANDING WATER - LOCALIZED,5/3/2016,11309 SW 200TH ST,,Miami_Dade_County,33157,25.582359,-80.374984,2016-05-03,POINT (-80.374984 25.582359)
32,FLOODING / STANDING WATER - LOCALIZED,1/25/2016,NW 107TH AVE & NW 66TH ST,,City_of_Doral,33178,25.833395,-80.370158,2016-01-25,POINT (-80.370158 25.833395)
33,FLOODING / STANDING WATER - LOCALIZED,10/12/2017,6034 SW 24TH ST,,Miami_Dade_County,33155,25.747989,-80.294032,2017-10-12,POINT (-80.294032 25.747989)
34,FLOODING / STANDING WATER - LOCALIZED,8/15/2016,127 NW 117TH ST,,Miami_Dade_County,33168,25.882628,-80.201053,2016-08-15,POINT (-80.201053 25.882628)
35,FLOODING / STANDING WATER - LOCALIZED,2/11/2016,9292 SW 40TH TER,,Miami_Dade_County,33165,25.731888,-80.34544,2016-02-11,POINT (-80.34544 25.731888)
36,FLOODING / STANDING WATER - LOCALIZED,5/5/2022,9129 SW 96TH AVE,,Miami_Dade_County,33176,25.684864,-80.350412,2022-05-05,POINT (-80.350412 25.684864)
37,FLOODING / STANDING WATER - LOCALIZED,1/27/2016,17034 SW 119TH PL,,Miami_Dade_County,33177,25.60967,-80.387413,2016-01-27,POINT (-80.387413 25.60967)
38,FLOODING / STANDING WATER - LOCALIZED,6/4/2022,1391 NW 102ND ST,,Miami_Dade_County,33147,25.868175,-80.221648,2022-06-04,POINT (-80.221648 25.868175)
39,FLOODING / STANDING WATER - LOCALIZED,2/8/2019,14880 SW 60TH ST,,Miami_Dade_County,33193,25.710383,-80.435041,2019-02-08,POINT (-80.435041 25.710383)
40,FLOODING / STANDING WATER - LOCALIZED,4/4/2017,511 NW 100TH TER,,Miami_Dade_County,33150,25.867318,-80.206221,2017-04-04,POINT (-80.206221 25.867318)
41,FLOODING / STANDING WATER - LOCALIZED,6/4/2022,17118 SW 144TH PL,,Miami_Dade_County,33177,25.608239,-80.427161,2022-06-04,POINT (-80.427161 25.608239)
42,FLOODING / STANDING WATER - LOCALIZED,5/27/2020,6991 NW 169TH TER,,Miami_Dade_County,33015,25.927186,-80.315164,2020-05-27,POINT (-80.315164 25.927186)
43,FLOODING / STANDING WATER - LOCALIZED,8/15/2019,6738 SW 30TH ST,,Miami_Dade_County,33155,25.742061,-80.304078,2019-08-15,POINT (-80.304078 25.742061)
44,FLOODING / STANDING WATER - LOCALIZED,8/22/2019,SW 84TH AVE & SW 16TH ST,,Miami_Dade_County,33155,25.755025,-80.331762,2019-08-22,POINT (-80.331762 25.755025)
